titulo	direccion	precio	Baños	Piso de duela	Armarios empotrados	Roof Garden	Totalmente cercado	Estacionamientos	Estacionamiento techado	Construidos (m²)	Nivel	Mantenimiento	Habitaciones (en total)	Superficie construida (m²)	Amueblado	Recámaras	Jardín	Internet de banda ancha disponible	Estacionamiento vigilado	Calefacción	Disponible desde	Balcón	Acceso a TV de paga	Patio	Garaje	Jacuzzi	Estudio	Piso de loseta	Sistema de alarma	Cancha de tenis	Cocina Equipada	Cuarto de servicio	Gimnasio	Estacionamiento abierto	Área de juegos infantiles	Construido (Año)	Aire acondicionado	Condiciones de Precio	Terraza	Área de entretenimiento al aire libre	Estacionamiento para Visitas	Intercomunicador	Chimenea	Terreno (m²)	Alberca
CASA EN MONTEMORELOS	Calles, Montemorelos	$ 4,700,000	1					6		104					No	2	True				02/05/23							True			True									True				2921	
Casa en venta en Valle Santa Isabel, Juaréz.	Juárez	$ 760,000	1					2							No	2																													
Hermosa Casa en Col. Real de Cumbres (Zona Cumbres)	Real de Cumbres, Monterrey	$ 2,409,000	1.5					1		116.69					No	3																													
Casa en Venta en Cumbres Samsara, García, N.L.	Samsara, García	$ 2,350,000	2		True		True	1	True	124					No	3	True		True	True			True	True				True			True			True	True		True			True	True			106	True
Quinta en venta en Monterrey, nueva, equipada y amueblada	Portal del Norte, General Zuazua	$ 14,900,000	7		True		True	6		675					Sí	6	True	True		True			True	True				True			True	True		True		2023	True		True		True			1500	True
CASA EN VENTA JUAREZ NUEVO LEON	Monte Verde, Juárez	$ 695,000	1					1		61						2																												97	
Casa en Venta, Privada de San Jose, Cercado, Santiago	Bosques de San José, Santiago	$ 4,380,000	4		True			2		270					No	3							True				True				True	True					True							200	
Quinta en venta El barrial	El Barrial, Santiago	$ 10,600,000	4		True	True		5		251					Sí	2	True			True	05/01/23		True	True		True					True	True		True			True		True					1405	True
Casa Los Ríos	Del Valle, San Pedro Garza García	$ 37,500,000	6					3		528						4																												400	
Valle Escondido SANTIAGO NL!!!	Santiago	$ 4,500,000	5					2		250					No	3																												1	
Casa  en Venta en Rincón de San Gerardo el Barro Carretera Nacional	El Barro, Santiago	$ 5,750,000	3					2		250						3																												158	
HERMOSA CASA EN VENTA	Antiguo San Agustin, San Pedro Garza García	$ 30,000,000	5.5					4	True	550					No	3	True			True				True							True						True		True					507	True
Casa en Venta, Futuro Nogalar	Futuro Nogalar Sect 1, San Nicolás de los Garza	$ 1,700,000	1							100					No	3																												120	
Jeronimo Siller	Jerónimo Siller, San Pedro Garza García	$ 58,000,000	8					4		997						4																				2000								1471	
CASA EN VENTA EN LA HERRADURA	Club de Golf La Herradura, Monterrey	$ 32,500,000	4					4		800						4																												588	
Proyectos Cumbres Elite te Construimos al Gusto. !!!	Cima del Bosque, Monterrey	$ 6,311,500	4			True		2	True	270					Yes	3	True					True		True				True				True							True					181	
Casa de dos niveles col Paso del Aguila , Monterrey	Paso Del Águila, Monterrey	$ 1,300,000	2					1	True	224					No	2					02/12/22			True															True					160	
CASA EN VENTA VALLE SANTA ISABEL SECTOR MADRID JUÁREZ NL	Benito Juárez Centro, Juárez	$ 577,000	1							61					Yes	2																												90	
CASA QUINTA EN VENTA EN EL BARRO SANTIAGO NL	El Barro, Santiago	$ 13,200,000	5				True	8	True	580					Sí	6	True				23/05/22	True	True	True			True	True	True		True	True		True			True		True	True	True			1312	True
Juarez N. L. Colonia San Antonio, 3 Rec. 1 Baño Local Comercial, Cochera Techada	San Antonio, Juárez	$ 690,000	1					1	True	188			4			3					17/08/22	True	True		True														True					118	
CASA - QUINTA EN VENTA EN FRACCIONAMIENTO SAN ANTONIO, ALLENDE, NUEVO LEON	San Antonio, Allende	$ 2,550,000	2.5					2		190					No	3					13/02/23																							162	
CASA EN VENTA EN DOMINIO CUMBRES	Privalia Cumbres, García	$ 2,665,000	3				True	2	True	160					No	3					25/01/21		True	True				True							True					True				119	True
Casa en Venta en Garcia, Nuevo Leon.	Lomas Palmeira, García	$ 2,311,000	2	True	True			2		123					No	3					26/04/23							True			True			True										123	
EXCELENTE CASA EN VENTA EN COL. CUAUHTEMOC, SAN NICOLÁS DE LOS GARZA	Cuauhtémoc, San Nicolás de los Garza	$ 10,300,000	4	True				4	True	440					Sí	4	True			True				True				True			True						True				True			345	
casa Valle de Cumbres Premier	Valle de Cumbres Premier, García	$ 4,900,000	4					2		215					No	3	True				09/01/23	True		True											True		True							180	True
El Uro Casa en Venta	El Uro, Monterrey	$ 9,700,000	6					3		436					No	3					04/02/23																							276	
Condominio horizontal Ayulama en Rincón de Las Huertas ENTREGA INMEDIATA!	Rincón de las Huertas, Santa Catarina	$ 5,100,000	5			True		2		257					No	3	True				18/01/23	True	True	True	True			True							True				True	True	True			175	
Casa en Privada Arrezo En Dominio Cumbres	Arezzo Residencial, García	$ 2,300,000	2.5					2	True	154					Sí	3	True	True		True	28/01/23		True					True			True			True	True		True			True				105	True
CASA EN VENTA COL FUENTES DEL VALLE, SPGG	Fuentes del Valle, San Pedro Garza García	$ 12,500,000	2					1	True	213					No	3								True																				405	
Hermosa Casa en Col. Real Del Valle en Santa Catarina (Negociable)	Real Del Valle, Santa Catarina	$ 3,000,000	3		True			2	True	176					Sí	3	True	True						True							True						True							90	
Casa En Venta Monterrey Nuevo Leon Fracc ARBOREA Muy Cerca De Avenida Leones	Montenova, García	$ 2,820,000	3	True	True	True	True	2	True	190					No	3		True			14/11/22		True					True			True		True		True		True		True	True	True			156	True
