titulo	direccion	precio	Baños	Piso de duela	Armarios empotrados	Roof Garden	Totalmente cercado	Estacionamientos	Estacionamiento techado	Construidos (m²)	Amueblado	Recámaras	Jardín	Internet de banda ancha disponible	Estacionamiento vigilado	Calefacción	Balcón	Acceso a TV de paga	Patio	Garaje	Jacuzzi	Estudio	Piso de loseta	Sistema de alarma	Cancha de tenis	Cocina Equipada	Cuarto de servicio	Gimnasio	Estacionamiento abierto	Área de juegos infantiles	Aire acondicionado	Terraza	Área de entretenimiento al aire libre	Estacionamiento para Visitas	Intercomunicador	Chimenea	Terreno (m²)	Alberca
CASA EN MONTEMORELOS	Calles, Montemorelos	4700000.0	1.0	False	False	False	False	6.0	False	104.0	False	2.0	True	False	False	False	False	False	False	False	False	False	True	False	False	True	False	False	False	False	False	False	True	False	False	False	2921.0	False
La Toscana Residencial, Carretera Nacional Monterrey.	La Toscana, Monterrey	13500000.0	6.0	False	False	False	False	8.0	False	450.0	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	465.0	False
Venta de Casa en Lomas del Vergel, Carretera Nacional	Lomas del Vergel, Monterrey	7290000.0	5.0	False	False	False	False	2.0	False	330.0	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	134.0	False
Casa en venta en Valle Santa Isabel, Juaréz.	Juárez	760000.0	1.0	False	False	False	False	2.0	False	411.7	False	2.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	5587.2	False
Hermosa Casa en Col. Real de Cumbres (Zona Cumbres)	Real de Cumbres, Monterrey	2409000.0	1.5	False	False	False	False	1.0	False	116.69	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	5587.2	False
Casa en Venta en Cumbres Samsara, García, N.L.	Samsara, García	2350000.0	2.0	False	True	False	True	1.0	True	124.0	False	3.0	True	False	True	True	False	True	True	False	False	False	True	False	False	True	False	False	True	True	True	False	True	True	False	False	106.0	True
Quinta en venta en Monterrey, nueva, equipada y amueblada	Portal del Norte, General Zuazua	14900000.0	7.0	False	True	False	True	6.0	False	675.0	True	6.0	True	True	False	True	False	True	True	False	False	False	True	False	False	True	True	False	True	False	True	True	False	True	False	False	1500.0	True
Casa en Venta, Privada de San Jose, Cercado, Santiago	Bosques de San José, Santiago	4380000.0	4.0	False	True	False	False	2.0	False	270.0	False	3.0	False	False	False	False	False	True	False	False	False	True	False	False	False	True	True	False	False	False	True	False	False	False	False	False	200.0	False
Casa Los Ríos	Del Valle, San Pedro Garza García	37500000.0	6.0	False	False	False	False	3.0	False	528.0	False	4.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	400.0	False
Quinta en venta El barrial	El Barrial, Santiago	10600000.0	4.0	False	True	True	False	5.0	False	251.0	True	2.0	True	False	False	True	False	True	True	False	True	False	False	False	False	True	True	False	True	False	True	True	False	False	False	False	1405.0	True
Valle Escondido SANTIAGO NL!!!	Santiago	4500000.0	5.0	False	False	False	False	2.0	False	250.0	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1.0	False
Casa  en Venta en Rincón de San Gerardo el Barro Carretera Nacional	El Barro, Santiago	5750000.0	3.0	False	False	False	False	2.0	False	250.0	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	158.0	False
"CASA EN VENTA VALLE LA RIOJA, ""CANTABRIA"". APODACA, N.L.  $3'000,000.00"	Valle la Rioja, Apodaca	3000000.0	3.5	True	True	False	False	2.0	False	192.1	False	4.0	True	True	True	True	True	True	True	False	False	False	True	False	False	True	False	False	True	True	True	True	True	True	False	False	147.1	False
HERMOSA CASA EN VENTA	Antiguo San Agustin, San Pedro Garza García	30000000.0	5.5	False	False	False	False	4.0	True	550.0	False	3.0	True	False	False	True	False	False	True	False	False	False	False	False	False	True	False	False	False	False	True	True	False	False	False	False	507.0	True
Casa en Venta, Futuro Nogalar	Futuro Nogalar Sect 1, San Nicolás de los Garza	1700000.0	1.0	False	False	False	False	2.8	False	100.0	False	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	120.0	False
