titulo	direccion	precio	Baños	Piso de duela	Armarios empotrados	Roof Garden	Totalmente cercado	Estacionamientos	Estacionamiento techado	Construidos (m²)	Nivel	Mantenimiento	Habitaciones (en total)	Superficie construida (m²)	Amueblado	Recámaras	Jardín	Internet de banda ancha disponible	Estacionamiento vigilado	Calefacción	Disponible desde	Balcón	Acceso a TV de paga	Patio	Garaje	Jacuzzi	Estudio	Piso de loseta	Sistema de alarma	Cancha de tenis	Cocina Equipada	Cuarto de servicio	Gimnasio	Estacionamiento abierto	Área de juegos infantiles	Construido (Año)	Aire acondicionado	Condiciones de Precio	Terraza	Área de entretenimiento al aire libre	Estacionamiento para Visitas	Intercomunicador	Chimenea	Terreno (m²)	Alberca
CASA EN MONTEMORELOS	Calles, Montemorelos	$ 4,700,000	1					6		104					No	2	True				02/05/23							True			True									True				2921	
La Toscana Residencial, Carretera Nacional Monterrey.	La Toscana, Monterrey	$ 13,500,000	6					8		450					No	3																												465	
Venta de Casa en Lomas del Vergel, Carretera Nacional	Lomas del Vergel, Monterrey	$ 7,290,000	5					2		330					No	3																												134	
Casa en venta en Valle Santa Isabel, Juaréz.	Juárez	$ 760,000	1					2							No	2																													
Hermosa Casa en Col. Real de Cumbres (Zona Cumbres)	Real de Cumbres, Monterrey	$ 2,409,000	1.5					1		116.69					No	3																													
Casa en Venta en Cumbres Samsara, García, N.L.	Samsara, García	$ 2,350,000	2		True		True	1	True	124					No	3	True		True	True			True	True				True			True			True	True		True			True	True			106	True
Quinta en venta en Monterrey, nueva, equipada y amueblada	Portal del Norte, General Zuazua	$ 14,900,000	7		True		True	6		675					Sí	6	True	True		True			True	True				True			True	True		True		2023	True		True		True			1500	True
Casa en Venta, Privada de San Jose, Cercado, Santiago	Bosques de San José, Santiago	$ 4,380,000	4		True			2		270					No	3							True				True				True	True					True							200	
Casa Los Ríos	Del Valle, San Pedro Garza García	$ 37,500,000	6					3		528						4																												400	
Quinta en venta El barrial	El Barrial, Santiago	$ 10,600,000	4		True	True		5		251					Sí	2	True			True	05/01/23		True	True		True					True	True		True			True		True					1405	True
Valle Escondido SANTIAGO NL!!!	Santiago	$ 4,500,000	5					2		250					No	3																												1	
Casa  en Venta en Rincón de San Gerardo el Barro Carretera Nacional	El Barro, Santiago	$ 5,750,000	3					2		250						3																												158	
"CASA EN VENTA VALLE LA RIOJA, ""CANTABRIA"". APODACA, N.L.  $3'000,000.00"	Valle la Rioja, Apodaca	$ 3,000,000	3.5	True	True			2		192.1					No	4	True	True	True	True		True	True	True				True			True			True	True		True		True	True	True			147.1	
HERMOSA CASA EN VENTA	Antiguo San Agustin, San Pedro Garza García	$ 30,000,000	5.5					4	True	550					No	3	True			True				True							True						True		True					507	True
Casa en Venta, Futuro Nogalar	Futuro Nogalar Sect 1, San Nicolás de los Garza	$ 1,700,000	1							100					No	3																												120	
Jeronimo Siller	Jerónimo Siller, San Pedro Garza García	$ 58,000,000	8					4		997						4																				2000								1471	
CASA EN VENTA EN LA HERRADURA	Club de Golf La Herradura, Monterrey	$ 32,500,000	4					4		800						4																												588	
Proyectos Cumbres Elite te Construimos al Gusto. !!!	Cima del Bosque, Monterrey	$ 6,311,500	4			True		2	True	270					Yes	3	True					True		True				True				True							True					181	
Casa de dos niveles col Paso del Aguila , Monterrey	Paso Del Águila, Monterrey	$ 1,300,000	2					1	True	224					No	2					02/12/22			True															True					160	
CASA EN VENTA VALLE SANTA ISABEL SECTOR MADRID JUÁREZ NL	Benito Juárez Centro, Juárez	$ 577,000	1							61					Yes	2																												90	
CASA QUINTA EN VENTA EN EL BARRO SANTIAGO NL	El Barro, Santiago	$ 13,200,000	5				True	8	True	580					Sí	6	True				23/05/22	True	True	True			True	True	True		True	True		True			True		True	True	True			1312	True
Juarez N. L. Colonia San Antonio, 3 Rec. 1 Baño Local Comercial, Cochera Techada	San Antonio, Juárez	$ 690,000	1					1	True	188			4			3					17/08/22	True	True		True														True					118	
CASA - QUINTA EN VENTA EN FRACCIONAMIENTO SAN ANTONIO, ALLENDE, NUEVO LEON	San Antonio, Allende	$ 2,550,000	2.5					2		190					No	3					13/02/23																							162	
CASA EN VENTA EN DOMINIO CUMBRES	Privalia Cumbres, García	$ 2,665,000	3				True	2	True	160					No	3					25/01/21		True	True				True							True					True				119	True
Casa en Venta en Garcia, Nuevo Leon.	Lomas Palmeira, García	$ 2,311,000	2	True	True			2		123					No	3					26/04/23							True			True			True										123	
EXCELENTE CASA EN VENTA EN COL. CUAUHTEMOC, SAN NICOLÁS DE LOS GARZA	Cuauhtémoc, San Nicolás de los Garza	$ 10,300,000	4	True				4	True	440					Sí	4	True			True				True				True			True						True				True			345	
casa Valle de Cumbres Premier	Valle de Cumbres Premier, García	$ 4,900,000	4					2		215					No	3	True				09/01/23	True		True											True		True							180	True
CASA EN VENTA COL FUENTES DEL VALLE, SPGG	Fuentes del Valle, San Pedro Garza García	$ 12,500,000	2					1	True	213					No	3								True																				405	
Condominio horizontal Ayulama en Rincón de Las Huertas ENTREGA INMEDIATA!	Rincón de las Huertas, Santa Catarina	$ 5,100,000	5			True		2		257					No	3	True				18/01/23	True	True	True	True			True							True				True	True	True			175	
Casa en Privada Arrezo En Dominio Cumbres	Arezzo Residencial, García	$ 2,300,000	2.5					2	True	154					Sí	3	True	True		True	28/01/23		True					True			True			True	True		True			True				105	True
El Uro Casa en Venta	El Uro, Monterrey	$ 9,700,000	6					3		436					No	3					04/02/23																							276	
Hermosa Casa en Col. Real Del Valle en Santa Catarina (Negociable)	Real Del Valle, Santa Catarina	$ 3,000,000	3		True			2	True	176					Sí	3	True	True						True							True						True							90	
Casa en Venta en Centrika, Monterrey	Residencial Céntrika, Monterrey	$ 3,900,000	3.5					2		197					No	3																												112	
Casa En Venta Monterrey Nuevo Leon Fracc ARBOREA Muy Cerca De Avenida Leones	Montenova, García	$ 2,820,000	3	True	True	True	True	2	True	190					No	3		True			14/11/22		True					True			True		True		True		True		True	True	True			156	True
Casa en Venta en Rincón de Los Encinos en Santiago, en Carretera Nacional	Bosques de San José, Santiago	$ 5,950,000	4.5					2		300					No	3																												360	
CASA EN CLUB DE GOLF LAS CRUCES, APODACA	Las Cruces Club de Golf, Apodaca	$ 4,500,000	3		True		True	2	True	235					No	3	True				26/12/22			True			True				True	True					True		True					330	
CASA EN VENTA COLONIA HACIENDA MITRAS MONTERREY NUEVO LEON	Hacienda Mitras, Monterrey	$ 1,800,000	2					2		142					No	4					25/03/23										True													160	
Casa en PREVENTA catujanes	Catujanes, Monterrey	$ 12,500,000	5		True			3		460					No	4					15/08/22		True								True						True		True		True			300	
Casa en Venta Privada del Fresno Zona Cumbres	Las Lomas Sector Jardines, García	$ 2,990,000	2					2		209						3																												223	
CASA (PROYECTO) EN VENTA SANTA CATARINA COL. LA FAMA 160 M2 SUPERFICIE	La Fama, Santa Catarina	$ 1,490,000	1					1		150					No	2					10/03/23																							160	
Azalea. Montellán	Monterrey	$ 5,200,000	3.5					2		202.54						3																												321.54	
Casa En Venta Cumbres Nuevo Leon Fracc Altrysa con acabados de lujo	Gran Reserva, García	$ 2,437,000	2		True		True	2	True	162					No	3	True	True	True	True	03/02/23	True	True	True			True		True		True			True	True				True	True	True	True		119	True
Casa en venta La joya carretera nacional	La Joya, Monterrey	$ 20,500,000	6		True			3	True	750					No	4		True		True	05/01/23	True	True	True			True				True	True		True			True		True		True			424	
Casa en Venta, Col. Chapultepec, San Nicolás de los Garza	Chapultepec, San Nicolás de los Garza	$ 6,000,000	2					3		120					No	4								True				True						True										500	
CASA EN VENTA, COL. DOS RIOS, GUADALUPE, N.L. $2'800,000.00	2 Ríos, Guadalupe	$ 2,800,000	2.5		True		True	3	True	294					No	3	True	True		True			True	True	True	True		True	True		True				True		True		True	True				184	
Casa Nueva en Venta Loma Bonita	Loma Bonita, Monterrey	$ 9,900,000	4					3		402						3																												373	
CASA EN VENTA EN ESQUINA FRACC. PRIVADO	García	$ 2,350,000	2.5					2		140					No	3																												118	
casa en cumbres elite premier	Cumbres Elite Premier, García	$ 5,450,000	4					2	True	278					No	3						True		True					True		True	True			True		True		True					144	
Casa en venta Flor de Piedra en Monterrey Nuevo León	Flor de Piedra, Monterrey	$ 20,900,000	5					3		723						4																				2013								514	
Casa en venta, Rincón de San Gerardo El Barro, N.L	El Barro, Santiago	$ 5,890,000	3					2		240						3																												206	
Casa en Venta en Valle, San Pedro Garza García., N.L. -7964	Del Valle, San Pedro Garza García	$ 30,500,000	4					3		582						3																												453	
Amplia Casa en Santiago Nuevo León Club de Golf Las Misiones.	Las Misiones, Santiago	$ 29,950,000	6					6		1300						6																												1514	
Casa Carretera Nacional, Colonia La Toscana, Monterrey	La Toscana, Monterrey	$ 10,500,000	5.5		True		True	2	True	392					No	3	True		True	True		True	True	True	True		True	True			True	True			True	4	True		True	True	True			443	
ETNA. Valle de Cumbres Premier	Valle de Cumbres, García	$ 5,600,000	3.5					2		215			6.5			3																												395	
Casa en Venta en Amorada Privada Residencial en Carretera Nacional	Los Rodriguez, Santiago	$ 6,750,000	3.5					3		350					No	3		True					True												True				True		True			250	True
RESIDENCIA NIVEL PLUS/ FRACCIONAMIENTO PRIVADO	Cumbres Elite, Monterrey	$ 7,300,000	4					4		388					No	3																												162	
CASA EN VENTA, COLONIA CUMBRES ELITE PREMIER, GARCIA NUEVO LEON	Cumbres Elite Premier, García	$ 5,400,000	4				True	2	True	300					No	3					28/12/22	True		True							True	True			True		True		True					144	
Casa en Colinas de San Jeronimo	Colinas de San Jerónimo, Monterrey	$ 11,475,000	3							365						3																				1993								426	
CASA EN VENTA CARRETERA NACIONAL CUMBRES DE SANTIAGO	Santiago Centro, Santiago	$ 4,400,000	3					2		250						3																												200	
